structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Lateral preoptic area,6.0,2.0,8.0,0.353269,0.354823,0.7080919999999999,16.984224486156442,5.6366131846019005
"Anterior area, layer 2/3",7.0,0.0,7.0,0.175844,0.210337,0.386181,39.808011646686836,0.0
"Secondary motor area, layer 1",0.0,6.0,6.0,1.213338,1.164975,2.378313,0.0,5.150325114272838
Hypothalamus,6.0,0.0,6.0,1.597181,1.585594,3.182775,3.7566186925589524,0.0
"Entorhinal area, medial part, dorsal zone, layer 5",6.0,0.0,6.0,0.576751,0.638397,1.215148,10.403102898824622,0.0
"Anterior cingulate area, dorsal part, layer 5",6.0,0.0,6.0,0.634832,0.6329049999999999,1.267737,9.451319404188826,0.0
Parafascicular nucleus,6.0,0.0,6.0,0.2902969999999999,0.275178,0.565475,20.668487790090843,0.0
"Dorsal auditory area, layer 2/3",6.0,0.0,6.0,0.161776,0.154579,0.316355,37.0883196518643,0.0
Mediodorsal nucleus of thalamus,6.0,0.0,6.0,0.809665,0.8408089999999999,1.650474,7.410472232343007,0.0
"posteromedial visual area, layer 2/3",6.0,0.0,6.0,0.106389,0.1033999999999999,0.209789,56.39680794067056,0.0
"posteromedial visual area, layer 4",6.0,0.0,6.0,0.043775,0.0416179999999999,0.085393,137.06453455168474,0.0
Striatum,5.0,0.0,5.0,1.561362,1.549227,3.110589,3.2023323226772527,0.0
"Laterointermediate area, layer 6a",5.0,0.0,5.0,0.043086,0.0443099999999999,0.087396,116.04697581581024,0.0
Claustrum,5.0,0.0,5.0,0.250122,0.224303,0.474425,19.99024476055685,0.0
Superior central nucleus raphe,0.0,4.0,4.0,0.338086,0.356738,0.694824,0.0,11.21271072888226
Crus 1,0.0,4.0,4.0,2.830371,2.936233,5.766603999999999,0.0,1.3622897092975932
"Perirhinal area, layer 5",1.0,3.0,4.0,0.086063,0.072142,0.1582049999999999,11.619395094291392,41.58465249092068
Zona incerta,3.0,1.0,4.0,0.8887269999999999,0.8899699999999999,1.7786969999999998,3.3756147838425075,1.12363338090048
"Orbital area, ventrolateral part, layer 5",4.0,0.0,4.0,0.312898,0.3283089999999999,0.641207,12.78371865591982,0.0
"Orbital area, lateral part, layer 5",4.0,0.0,4.0,0.6419159999999999,0.648315,1.290231,6.231344911172179,0.0
"Retrosplenial area, lateral agranular part, layer 6a",4.0,0.0,4.0,0.242525,0.2460649999999999,0.4885899999999999,16.493145036594168,0.0
"Primary auditory area, layer 2/3",4.0,0.0,4.0,0.2184229999999999,0.185684,0.404107,18.313089738718002,0.0
"Primary auditory area, layer 6a",4.0,0.0,4.0,0.1490469999999999,0.152327,0.301374,26.837172167168763,0.0
"Retrosplenial area, lateral agranular part, layer 2/3",4.0,0.0,4.0,0.2385769999999999,0.2651179999999999,0.503695,16.7660755227872,0.0
"Supplemental somatosensory area, layer 5",4.0,0.0,4.0,1.2896729999999998,1.09494,2.384613,3.1015614035495824,0.0
Central lateral nucleus of the thalamus,4.0,0.0,4.0,0.2267479999999999,0.2260859999999999,0.4528339999999999,17.64072891491877,0.0
"Anteromedial visual area, layer 2/3",4.0,0.0,4.0,0.065719,0.076065,0.141784,60.86519880095558,0.0
"Primary somatosensory area, barrel field, layer 4",4.0,0.0,4.0,0.709386,0.791346,1.500732,5.638679083038008,0.0
supra-callosal cerebral white matter,4.0,0.0,4.0,0.6224419999999999,0.6687,1.2911419999999998,6.426301567053637,0.0
"Temporal association areas, layer 6a",4.0,0.0,4.0,0.280144,0.245888,0.526032,14.27837112342224,0.0
"Posterior auditory area, layer 2/3",4.0,0.0,4.0,0.067908,0.0759249999999999,0.143833,58.903222006243745,0.0
"Posterolateral visual area, layer 6a",4.0,0.0,4.0,0.071504,0.0725089999999999,0.144013,55.94092638174088,0.0
"Orbital area, lateral part, layer 2/3",3.0,0.0,3.0,0.32665,0.3260119999999999,0.652662,9.184142048063677,0.0
Parasubiculum,3.0,0.0,3.0,0.417963,0.520361,0.938324,7.177668836715212,0.0
root,2.0,1.0,3.0,1.626796,1.783313,3.410109,1.22941044851352,0.5607540571957923
"Anterior area, layer 6a",3.0,0.0,3.0,0.1237839999999999,0.1278679999999999,0.251652,24.235765527047135,0.0
"Rostrolateral area, layer 5",3.0,0.0,3.0,0.140864,0.167709,0.308573,21.297137664697868,0.0
"Lateral visual area, layer 6a",3.0,0.0,3.0,0.1193279999999999,0.121752,0.24108,25.140788415124717,0.0
"posteromedial visual area, layer 6a",3.0,0.0,3.0,0.07975,0.081591,0.161341,37.61755485893417,0.0
Lateral hypothalamic area,2.0,1.0,3.0,1.243001,1.215993,2.458994,1.6090091641116941,0.8223731551086231
"Primary visual area, layer 6b",3.0,0.0,3.0,0.0934929999999999,0.102186,0.195679,32.08796380477686,0.0
"Ventral auditory area, layer 6a",3.0,0.0,3.0,0.156255,0.1432,0.299455,19.19938561966017,0.0
"Lateral visual area, layer 2/3",3.0,0.0,3.0,0.154952,0.165411,0.320363,19.360834322887087,0.0
"Primary somatosensory area, barrel field, layer 2/3",3.0,0.0,3.0,0.759729,0.918308,1.678037,3.948776471610272,0.0
"Dorsal auditory area, layer 4",3.0,0.0,3.0,0.074053,0.070995,0.145048,40.51152552901301,0.0
"Anterior cingulate area, ventral part, layer 5",2.0,0.0,2.0,0.556452,0.510659,1.067111,3.5942003982374047,0.0
Medial vestibular nucleus,1.0,1.0,2.0,0.970255,0.97071,1.940965,1.0306568891683114,1.0301737903184267
Medial septal nucleus,0.0,2.0,2.0,0.2465909999999999,0.278121,0.524712,0.0,7.191114658727676
Perireunensis nucleus,2.0,0.0,2.0,0.0978059999999999,0.0916439999999999,0.1894499999999999,20.44864323252154,0.0
"Agranular insular area, dorsal part, layer 6a",2.0,0.0,2.0,0.3727109999999999,0.340593,0.7133039999999999,5.3660879340829775,0.0
"Anterior area, layer 4",2.0,0.0,2.0,0.0736609999999999,0.0819339999999999,0.1555949999999999,27.151409836955825,0.0
Magnocellular nucleus,2.0,0.0,2.0,0.2158419999999999,0.225053,0.440895,9.2660371938733,0.0
Postsubiculum,2.0,0.0,2.0,0.598923,0.622502,1.221425,3.3393274260631167,0.0
"Postrhinal area, layer 6b",2.0,0.0,2.0,0.018476,0.018944,0.0374199999999999,108.2485386447283,0.0
"Posterolateral visual area, layer 4",2.0,0.0,2.0,0.0211659999999999,0.0215379999999999,0.0427039999999999,94.49116507606584,0.0
"Entorhinal area, medial part, dorsal zone, layer 6",2.0,0.0,2.0,0.406703,0.418159,0.824862,4.917593428128143,0.0
"Temporal association areas, layer 6b",2.0,0.0,2.0,0.0453709999999999,0.041738,0.0871089999999999,44.08102091644452,0.0
"Postrhinal area, layer 4",2.0,0.0,2.0,0.031118,0.032126,0.063244,64.27148274310689,0.0
Pallidum,2.0,0.0,2.0,0.704673,0.71315,1.4178229999999998,2.8381958724117426,0.0
